iter	RMSE
0	7.165253063
1	7.15117184
2	7.122976315
3	7.08206146
4	7.024061989
5	6.96648858
6	6.915638904
7	6.867288597
8	6.849090846
9	6.819409768
10	6.772732312
11	6.715621621
12	6.682410208
13	6.622764647
14	6.593721429
15	6.554753507
16	6.526386724
17	6.486804512
18	6.433065468
19	6.378843752
20	6.316809324
21	6.302176884
22	6.268625409
23	6.232917924
24	6.210450525
25	6.178285494
26	6.151520502
27	6.134468593
28	6.110275201
29	6.065454975
30	6.049531936
31	6.022541015
32	6.012792741
33	5.97018743
34	5.931442245
35	5.911915907
36	5.873379147
37	5.850093452
38	5.80832227
39	5.801345076
40	5.767702444
41	5.742915548
42	5.697143949
43	5.658860877
44	5.616704951
45	5.583436834
46	5.568422241
47	5.561137906
48	5.525577379
49	5.493764654
50	5.471213971
51	5.44909527
52	5.416950177
53	5.38469467
54	5.365738781
55	5.33676307
56	5.286941479
57	5.26661331
58	5.245260278
59	5.217197379
60	5.188585215
61	5.162400963
62	5.122931281
63	5.091211738
64	5.062747488
65	5.025813139
66	4.998787785
67	4.971805911
68	4.956432074
69	4.939928001
70	4.919402212
71	4.894323816
72	4.872807229
73	4.852686201
74	4.817481374
75	4.803258102
76	4.766803088
77	4.740944442
78	4.719727508
79	4.698025241
80	4.67478222
81	4.65095841
82	4.627141994
83	4.605807435
84	4.568022337
85	4.550979071
86	4.525624579
87	4.483322157
88	4.460679517
89	4.435379061
90	4.407159705
91	4.384564797
92	4.355165915
93	4.339048758
94	4.32714672
95	4.288745335
96	4.269466521
97	4.229896454
98	4.217955048
99	4.207880824
100	4.182748354
101	4.157741302
102	4.138587898
103	4.112674721
104	4.091449167
105	4.06190433
106	4.045865389
107	4.019113279
108	4.010864749
109	3.988618682
110	3.952217554
111	3.945133136
112	3.925652274
113	3.906153948
114	3.890220517
115	3.871689291
116	3.851050125
117	3.814538644
118	3.787696545
119	3.768251653
120	3.758586486
121	3.733763271
122	3.713164039
123	3.685701023
124	3.656515218
125	3.637219258
126	3.623963915
127	3.610658398
128	3.580499926
129	3.546317794
130	3.526499591
131	3.506556448
132	3.47879726
133	3.455844279
134	3.448280226
135	3.426848736
136	3.398652806
137	3.371631272
138	3.358803281
139	3.342398835
140	3.321107321
141	3.312536187
142	3.296430055
143	3.266689598
144	3.23807197
145	3.215710443
146	3.197335877
147	3.168228509
148	3.155039728
149	3.126514845
150	3.122467636
151	3.11525757
152	3.109808203
153	3.078711874
154	3.064463033
155	3.038953206
156	3.032441523
157	3.000754737
158	2.975624714
159	2.973189172
160	2.945744037
161	2.917822247
162	2.895949442
163	2.863056554
164	2.845285115
165	2.825924907
166	2.809257717
167	2.79094259
168	2.78520353
169	2.765245965
170	2.740286942
171	2.717158379
172	2.698182369
173	2.678178362
174	2.662933905
175	2.645827691
176	2.629277298
177	2.602568667
178	2.589241944
179	2.573476346
180	2.56297389
181	2.538062269
182	2.519620448
183	2.495670572
184	2.470977004
185	2.464517985
186	2.452325275
187	2.432836585
188	2.410897251
189	2.383990657
190	2.362749122
191	2.347217477
192	2.3401159
193	2.337044915
194	2.31835436
195	2.297062841
196	2.276411539
197	2.264857361
198	2.251093181
199	2.237615632
