iter	Passed	Remaining
0	1	303
1	2	261
2	3	245
3	4	235
4	5	229
5	7	227
6	8	224
7	9	220
8	10	217
9	11	215
10	12	218
11	14	219
12	15	218
13	16	217
14	17	218
15	18	215
16	19	213
17	20	211
18	22	209
19	23	208
20	24	206
21	25	204
22	26	204
23	27	203
24	28	201
25	29	199
26	30	197
27	31	196
28	33	195
29	34	193
30	35	192
31	36	190
32	37	189
33	38	188
34	39	187
35	40	186
36	42	185
37	43	184
38	44	183
39	45	182
40	46	181
41	47	179
42	48	178
43	49	177
44	51	175
45	52	174
46	53	173
47	54	172
48	55	171
49	56	170
50	58	169
51	59	168
52	60	167
53	61	166
54	62	165
55	63	164
56	64	162
57	66	161
58	67	160
59	68	159
60	69	158
61	70	156
62	71	156
63	72	155
64	74	153
65	75	152
66	76	151
67	77	150
68	78	148
69	79	147
70	80	146
71	81	145
72	82	144
73	83	142
74	84	141
75	86	140
76	87	139
77	88	138
78	89	137
79	91	136
80	92	135
81	93	134
82	94	133
83	95	131
84	96	130
85	97	129
86	98	128
87	99	127
88	101	126
89	102	124
90	103	123
91	104	122
92	105	121
93	106	120
94	107	119
95	108	117
96	109	116
97	111	115
98	112	114
99	113	113
100	114	112
101	115	111
102	116	109
103	118	108
104	119	107
105	120	106
106	121	105
107	122	104
108	123	103
109	124	102
110	125	100
111	126	99
112	128	98
113	129	97
114	130	96
115	131	95
116	132	94
117	133	93
118	135	91
119	136	90
120	137	89
121	138	88
122	139	87
123	140	86
124	141	85
125	142	83
126	143	82
127	144	81
128	146	80
129	147	79
130	148	78
131	149	77
132	151	76
133	152	74
134	153	73
135	154	72
136	155	71
137	156	70
138	157	69
139	159	68
140	160	67
141	161	65
142	162	64
143	163	63
144	164	62
145	166	61
146	167	60
147	168	59
148	169	57
149	170	56
150	172	55
151	173	54
152	174	53
153	175	52
154	176	51
155	178	50
156	179	49
157	180	48
158	182	46
159	183	45
160	184	44
161	185	43
162	186	42
163	188	41
164	189	40
165	190	39
166	191	37
167	193	36
168	194	35
169	195	34
170	197	33
171	198	32
172	199	31
173	200	29
174	201	28
175	202	27
176	204	26
177	205	25
178	206	24
179	208	23
180	209	21
181	210	20
182	211	19
183	213	18
184	214	17
185	215	16
186	217	15
187	218	13
188	219	12
189	220	11
190	222	10
191	223	9
192	224	8
193	225	6
194	227	5
195	228	4
196	229	3
197	231	2
198	232	1
199	233	0
